id,question,choices,answer_index,answer_text,lecture,explanation,category,grade,image_filename
9371,Will these magnets attract or repel each other?,A. attract | B. repel,0,attract,"Magnets can pull or push on other magnets without touching them. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes are called magnetic forces.
Magnetic forces are strongest at the magnets' poles, or ends. Every magnet has two poles: a north pole (N) and a south pole (S).
Here are some examples of magnets. Their poles are shown in different colors and labeled.
Whether a magnet attracts or repels other magnets depends on the positions of its poles.
If opposite poles are closest to each other, the magnets attract. The magnets in the pair below attract.
If the same, or like, poles are closest to each other, the magnets repel. The magnets in both pairs below repel.",,Magnets,grade5,9371.jpg
9372,Which of the following statements is supported by the passage?,A. Some air masses contain dry air; other air masses contain moist air. | B. Meteorologists are scientists who study meteors.,0,Some air masses contain dry air; other air masses contain moist air.,,,Weather and climate,grade6,9372.jpg
9373,What can Caleb and Aiden trade to each get what they want?,A. Aiden can trade his broccoli for Caleb's oranges. | B. Caleb can trade his tomatoes for Aiden's broccoli. | C. Caleb can trade his tomatoes for Aiden's carrots. | D. Aiden can trade his almonds for Caleb's tomatoes.,1,Caleb can trade his tomatoes for Aiden's broccoli.,,,Basic economic principles,grade7,9373.jpg
9374,"Which figure of speech is used in this text?
At twenty-one, Chad felt overwhelmed with adult responsibilities and wished he could fly off to Neverland.",A. allusion | B. simile,0,allusion,"Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
Alliteration is the repetition of sounds at the beginning of nearby words.
What a lucky little lady you are!
An allusion is a brief reference to something or someone well known, often from history or literature.
""I'd better get home before I turn into a pumpkin!"" Lila remarked.
An idiom is an expression that cannot be understood literally. Its meaning must be learned.
The assignment was a piece of cake.
A simile uses like or as to compare two things that are not actually alike.
The cat's fur was as dark as the night.
A metaphor compares two things that are not actually alike without using like or as.
The snow formed a blanket over the town.
Onomatopoeia involves using a word that expresses a sound.
The scrambled eggs hit the floor with a splat.
Personification is giving human characteristics to nonhuman things.
The trees danced in the wind.
A pun involves using a word or phrase in a humorous way that suggests more than one meaning.
A great new broom is sweeping the nation.
Verbal irony involves saying one thing but implying something very different. People often use verbal irony when they are being sarcastic.
Olivia seems thrilled that her car keeps breaking down.
Each breakdown is as enjoyable as a punch to the face.",,Literary devices,grade6,
9375,What is the capital of New Hampshire?,A. Provo | B. Albany | C. Jefferson City | D. Concord,3,Concord,,,State capitals,grade5,9375.jpg
9376,Select the solid.,A. air inside a soccer ball | B. vinegar | C. water in a sink | D. ruler,3,ruler,"Solid, liquid, and gas are states of matter. Matter is anything that takes up space. Matter can come in different states, or forms.
When matter is a solid, it has a definite volume and a definite shape. So, a solid has a size and shape of its own.
Some solids can be easily folded, bent, or broken. A piece of paper is a solid. Also, some solids are very small. A grain of sand is a solid.
When matter is a liquid, it has a definite volume but not a definite shape. So, a liquid has a size of its own, but it does not have a shape of its own. Think about pouring juice from a bottle into a cup. The juice still takes up the same amount of space, but it takes the shape of the bottle.
Some liquids do not pour as easily as others. Honey and milk are both liquids. But pouring honey takes more time than pouring milk.
When matter is a gas, it does not have a definite volume or a definite shape. A gas expands, or gets bigger, until it completely fills a space. A gas can also get smaller if it is squeezed into a smaller space.
Many gases are invisible. Air is a gas.",,States of matter,grade3,
9377,What is the capital of South Carolina?,A. Columbia | B. Nampa | C. Charleston | D. Phoenix,0,Columbia,,,State capitals,grade5,9377.jpg
9378,"Which figure of speech is used in this text?
At twenty-one, Eddie felt overwhelmed with adult responsibilities and wished he could fly off to Neverland.",A. onomatopoeia | B. allusion,1,allusion,"Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
Alliteration is the repetition of sounds at the beginning of nearby words.
What a lucky little lady you are!
An allusion is a brief reference to something or someone well known, often from history or literature.
""I'd better get home before I turn into a pumpkin!"" Lila remarked.
An idiom is an expression that cannot be understood literally. Its meaning must be learned.
The assignment was a piece of cake.
A simile uses like or as to compare two things that are not actually alike.
The cat's fur was as dark as the night.
A metaphor compares two things that are not actually alike without using like or as.
The snow formed a blanket over the town.
Onomatopoeia involves using a word that expresses a sound.
The scrambled eggs hit the floor with a splat.
Personification is giving human characteristics to nonhuman things.
The trees danced in the wind.
A pun involves using a word or phrase in a humorous way that suggests more than one meaning.
A great new broom is sweeping the nation.
Verbal irony involves saying one thing but implying something very different. People often use verbal irony when they are being sarcastic.
Olivia seems thrilled that her car keeps breaking down.
Each breakdown is as enjoyable as a punch to the face.",,Literary devices,grade8,
9379,"Based on this information, what is Rascal's phenotype for the fur length trait?",A. short fur | B. long fur,1,long fur,"All organisms have pieces of hereditary material called genes, which are passed from parents to offspring. Genes contain instructions for building the parts of an organism. An organism's genes affect its observable traits, including its appearance, its behavior, and which diseases it may have. Genes may have different alleles, or forms, that can cause different versions of a trait.
For example, flower color is a trait in pea plants. The gene for this trait has two possible alleles. Each allele is represented by an uppercase or lowercase letter. The allele F is for purple flowers, and the allele f is for white flowers. Each pea plant has two alleles for the flower color gene—one allele inherited from each parent.
An organism's genotype for a gene is its combination of alleles for that gene. So, a pea plant may have a genotype of FF, Ff, or ff for the flower color gene.
An organism's phenotype for a trait is its observable version of that trait, which depends on the organism's combination of alleles. A pea plant may have a phenotype of purple flowers or white flowers for the flower color trait.
Some traits, like flower color in pea plants, are controlled by a single gene. Most plants and animals have a genotype made up of two alleles for these traits. These two alleles determine whether an organism is homozygous or heterozygous for the gene.
An organism with two identical alleles for a gene is homozygous for that gene. A pea plant with the genotype FF or ff is homozygous for the flower color gene.
An organism with two different alleles for a gene is heterozygous for that gene. A pea plant with the genotype Ff is heterozygous for the flower color gene.
The types of alleles in an organism's genotype determine the organism's phenotype. Some alleles have types called dominant and recessive. These two types can cause different versions of a trait to appear as the organism's phenotype.
A dominant allele causes its version of the trait to appear even when the organism also has a recessive allele for the gene. In pea plants, the F allele, which causes purple flowers, is dominant over the f allele. A pea plant with at least one F allele will have the F allele's version of the flower color trait. So, a plant with the genotype FF or Ff will have purple flowers.
A recessive allele causes its version of the trait to appear only when the organism does not have any dominant alleles for the gene. In pea plants, the f allele, which causes white flowers, is recessive to the F allele. A pea plant with only f alleles will have the f allele's version of the flower color trait. So, a plant with the genotype ff will have white flowers.",,Genes to traits,grade6,
9380,Which is a compound sentence?,"A. Mr. Chu peeled the tangerine and divided it into sections. | B. We can install the software now, or we can wait until next week.",1,"We can install the software now, or we can wait until next week.","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought. It can stand alone as a sentence. A dependent clause is not a complete thought. It cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw a flash of lightning, and seconds later we heard the rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause usually begins with a subordinating conjunction such as after, although, as, because, before, if, since, unless, until, when, or while.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.",,"Sentences, fragments, and run-ons",grade6,
9381,Which property matches this object?,A. breakable | B. bouncy,0,breakable,"An object has different properties. A property of an object can tell you how it looks, feels, tastes, or smells.",,Materials,grade2,9381.jpg
9382,Which animal's feet are also adapted for sticking to smooth surfaces?,A. Costa Rica brook frog | B. blue-footed booby,0,Costa Rica brook frog,"An adaptation is an inherited trait that helps an organism survive or reproduce. Adaptations can include both body parts and behaviors.
The shape of an animal's feet is one example of an adaptation. Animals' feet can be adapted in different ways. For example, webbed feet might help an animal swim. Feet with thick fur might help an animal walk on cold, snowy ground.",,Adaptations,grade5,9382.jpg
9383,What is the capital of Indiana?,A. Indianapolis | B. Topeka | C. Fort Wayne | D. Providence,0,Indianapolis,,,State capitals,grade3,9383.jpg
9384,What information supports the conclusion that Albert acquired this trait?,A. Albert's scar was caused by an accident. He cut his arm when he fell off his bicycle. | B. Some scars fade more quickly than others.,0,Albert's scar was caused by an accident. He cut his arm when he fell off his bicycle.,"Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment.",,Traits and heredity,grade4,
9385,Select the animal that has a backbone.,A. goose | B. castor bean tick,0,goose,"Some animals have a backbone. The backbone is made of many bones in an animal's back. An animal's backbone helps connect the different parts of its body. In the drawings below, each animal's backbone is colored orange.
Other animals do not have a backbone. In fact, these animals don't have any bones! Some animals without backbones have a hard outer cover. Other animals have a soft body.",,Classification,grade2,
9386,Will these magnets attract or repel each other?,A. repel | B. attract,1,attract,"Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart.
Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles: north and south.
Here are some examples of magnets. The north pole of each magnet is labeled N, and the south pole is labeled S.
If opposite poles are closest to each other, the magnets attract. The magnets in the pair below attract.
If the same, or like, poles are closest to each other, the magnets repel. The magnets in both pairs below repel.
",,Magnets,grade4,9386.jpg
9387,"Which logical fallacy is used in the text?
I can't believe you'd hire Tyler Khan to watch your dog! Did you know that his friend adopted a dog but then took it back to the shelter after just one week?",A. straw man: a misrepresentation of an opponent's position that makes it easier to argue against | B. guilt by association: a negative association intended to discredit someone or something,1,guilt by association: a negative association intended to discredit someone or something,"A strong argument uses valid reasoning and logic in support of a claim. When an argument or claim introduces irrelevant information or misrepresents the issues at hand, it may be committing a logical fallacy. Logical fallacies can hurt a writer's credibility and can lead readers to draw false conclusions.
A logical fallacy may present irrelevant information:
Fallacy | Description
ad hominem | a personal attack meant to discredit one's opponent
appeal to nature | an argument that assumes the natural choice is always the best choice
bandwagon fallacy | an argument that assumes the popular choice is always the best choice
circular reasoning | an argument that supports a claim with the claim itself
guilt by association | an unfair negative association with another person or group that is intended to discredit someone or something
red herring | the use of a completely unrelated topic in support of a claim
A logical fallacy may misrepresent the issues at hand:
Fallacy | Description
false causation | the assumption that because two things happened together, one caused the other
false dichotomy | an argument that presents only two choices when more options exist
hasty generalization | a very broad claim based on very little evidence
straw man | a misrepresentation of an opponent's position that makes it easier to argue against
",,Developing and supporting arguments,grade8,
9388,"Complete the statement. Assume that Alec's mass did not change.
The gravitational potential energy stored between Alec and Earth () as he hiked toward the summit.",A. stayed the same | B. decreased | C. increased,2,increased,"Gravitational potential energy is stored between any two objects. So, for every object on or near Earth, there is gravitational potential energy stored between the object and Earth.
The amount of gravitational potential energy stored between an object and Earth depends on the mass of the object. The amount of gravitational potential energy also depends on the distance between the object and the center of Earth. This distance increases when the object moves higher and decreases when the object moves lower.
If the distance between an object and the center of Earth changes, the gravitational potential energy stored between the object and Earth will change. The table below shows how this change can happen.
When an object's mass stays the same and its distance from the center of Earth... | Gravitational potential energy stored between the object and Earth...
increases | increases
decreases | decreases
stays the same | stays the same",,Kinetic and potential energy,grade8,
9389,"What is the source of the allusion in the sentence below?
Hayley had her fifteen minutes when her video of kayaking with dolphins went viral.",A. modern history | B. a song,0,modern history,"An allusion is a brief mention of something or someone well known, often from mythology, history, or literature. An allusion lets you reference ideas from an entire story in just a few words.
""I'd better get home before I turn into a pumpkin!"" Lila remarked.
Here, Lila alludes to the fairy tale ""Cinderella,"" in which Cinderella must leave the ball before the coach that brought her transforms into a pumpkin. The allusion shows that Lila must depart immediately.",,Literary devices,grade10,
9390,Which animal's limbs are also adapted for climbing trees?,A. white-cheeked gibbon | B. California sea lion,0,white-cheeked gibbon,"An adaptation is an inherited trait that helps an organism survive or reproduce. Adaptations can include both body parts and behaviors.
Arms, legs, flippers, and wings are different types of limbs. The type of limbs an animal has is an example of an adaptation. Animals' limbs can be adapted in different ways. For example, long legs might help an animal run fast. Flippers might help an animal swim. Wings might help an animal fly.",,Adaptations,grade5,9390.jpg
9391,Select the action that doesn't belong.,A. cut | B. shampoo | C. style | D. boil,3,boil,,,Categories,grade5,
9392,Which is a compound sentence?,"A. The queen was invited to the ball, so she bought a new dress. | B. Every month the mayor gives a speech to the citizens.",0,"The queen was invited to the ball, so she bought a new dress.","A simple sentence is a sentence with only one subject and predicate.
The pitcher threw the ball to first base.
A compound sentence is two simple sentences joined by a comma and a conjunction such as and, but, or, or so.
The pitcher threw the ball, and the batter hit it.
Some simple sentences have a compound subject or a compound predicate, but they are not compound sentences.
Anna and James will watch the fireworks tonight.
This simple sentence has a compound subject, Anna and James.
The singers bowed and walked off the stage.
This simple sentence has a compound predicate, bowed and walked off the stage.
Some simple sentences have introductory phrases, but they are not compound sentences. The introductory phrase is part of the predicate.
In the winter, Farmer Ben wears his heavy coat.
This is a simple sentence. There is one subject, Farmer Ben, and one predicate, wears his heavy coat in the winter.",,"Sentences, fragments, and run-ons",grade5,
9393,"Which word would you find on a dictionary page with the following guide words?
tentacle - torpedo",A. tundra | B. those,1,those,"Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order.
To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on.
If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.",,Reference skills,grade6,
9394,What is the name of the colony shown?,A. Georgia | B. South Carolina | C. North Carolina | D. Florida,1,South Carolina,,,Colonial America,grade7,9394.jpg
9395,"Based on this information, what is this plant's phenotype for the pea shape trait?",A. wrinkled peas | B. round peas,1,round peas,"All organisms have pieces of hereditary material called genes, which are passed from parents to offspring. Genes contain instructions for building the parts of an organism. An organism's genes affect its observable traits, including its appearance, its behavior, and which diseases it may have. Genes may have different alleles, or forms, that can cause different versions of a trait.
For example, flower color is a trait in pea plants. The gene for this trait has two possible alleles. Each allele is represented by an uppercase or lowercase letter. The allele F is for purple flowers, and the allele f is for white flowers. Each pea plant has two alleles for the flower color gene—one allele inherited from each parent.
An organism's genotype for a gene is its combination of alleles for that gene. So, a pea plant may have a genotype of FF, Ff, or ff for the flower color gene.
An organism's phenotype for a trait is its observable version of that trait, which depends on the organism's combination of alleles. A pea plant may have a phenotype of purple flowers or white flowers for the flower color trait.
Some traits, like flower color in pea plants, are controlled by a single gene. Most plants and animals have a genotype made up of two alleles for these traits. These two alleles determine whether an organism is homozygous or heterozygous for the gene.
An organism with two identical alleles for a gene is homozygous for that gene. A pea plant with the genotype FF or ff is homozygous for the flower color gene.
An organism with two different alleles for a gene is heterozygous for that gene. A pea plant with the genotype Ff is heterozygous for the flower color gene.
The types of alleles in an organism's genotype determine the organism's phenotype. Some alleles have types called dominant and recessive. These two types can cause different versions of a trait to appear as the organism's phenotype.
A dominant allele causes its version of the trait to appear even when the organism also has a recessive allele for the gene. In pea plants, the F allele, which causes purple flowers, is dominant over the f allele. A pea plant with at least one F allele will have the F allele's version of the flower color trait. So, a plant with the genotype FF or Ff will have purple flowers.
A recessive allele causes its version of the trait to appear only when the organism does not have any dominant alleles for the gene. In pea plants, the f allele, which causes white flowers, is recessive to the F allele. A pea plant with only f alleles will have the f allele's version of the flower color trait. So, a plant with the genotype ff will have white flowers.",,Genes to traits,grade7,
9396,"Which type of sentence is this?
Kenny always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",A. compound-complex | B. compound | C. complex | D. simple,1,compound,"A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.",,Phrases and clauses,grade8,
9397,Which metal paper clip has a higher temperature?,A. the metal paper clip with more thermal energy | B. the metal paper clip with less thermal energy,0,the metal paper clip with more thermal energy,"Matter is made of tiny particles called atoms. Atoms are always moving.
The energy of moving atoms is called thermal energy. The total amount of thermal energy in matter depends on three things: the type of matter, the amount of matter, and how fast the atoms are moving.
Temperature measures how hot or cold matter is. If the atoms in matter move faster, the temperature goes up. The matter now has both more thermal energy and a higher temperature.
What happens if the amount of matter changes? A 2-kilogram brick at 70°F has twice as much thermal energy as a 1-kilogram brick at 70°F. The two bricks have the same temperature, but the larger brick has twice as many atoms. So, it has twice as much thermal energy.",,Thermal energy,grade6,
9398,"As Ivan pulls on the umbrella, what is the direction of the opposing force?",A. away from Ivan | B. toward Ivan,0,away from Ivan,"A force is a push or a pull that acts on an object. Each force acts on an object in a certain direction. If two forces act on an object in opposite directions, they are called opposing forces.",,Force and motion,grade3,9398.jpg
9399,"Based on this information, what is this muskmelon plant's genotype for the fruit taste gene?",A. FF | B. sour fruit,0,FF,"All organisms have pieces of hereditary material called genes, which are passed from parents to offspring. Genes contain instructions for building the parts of an organism. An organism's genes affect its observable traits, including its appearance, its behavior, and which diseases it may have. Genes may have different alleles, or forms, that can cause different versions of a trait.
For example, flower color is a trait in pea plants. The gene for this trait has two possible alleles. Each allele is represented by an uppercase or lowercase letter. The allele F is for purple flowers, and the allele f is for white flowers. Each pea plant has two alleles for the flower color gene—one allele inherited from each parent.
An organism's genotype for a gene is its combination of alleles for that gene. So, a pea plant may have a genotype of FF, Ff, or ff for the flower color gene.
An organism's phenotype for a trait is its observable version of that trait, which depends on the organism's combination of alleles. A pea plant may have a phenotype of purple flowers or white flowers for the flower color trait.",,Genes to traits,grade6,
9400,Which type of relationship is formed when a cleaner wrasse eats parasites off a moray eel?,A. commensal | B. mutualistic | C. parasitic,1,mutualistic,"When two organisms of different species interact in a way that affects one or both organisms, they form a symbiotic relationship. The word symbiosis comes from a Greek word that means living together. Scientists define types of symbiotic relationships based on how each organism is affected.
This table lists three common types of symbiotic relationships. It shows how each organism is affected in each type of symbiotic relationship.
Type of symbiotic relationship | Organism of one species... | Organism of the other species...
Commensal | benefits | is not significantly affected
Mutualistic | benefits | benefits
Parasitic | benefits | is harmed (but not usually killed)",,Ecological interactions,grade7,9400.jpg
9401,What is the capital of Nevada?,A. Carson City | B. Helena | C. Reno | D. Las Vegas,0,Carson City,,,State capitals,grade5,9401.jpg
9402,Which text uses the word nauseous in its traditional sense?,A. Bella's little brother looked a little nauseous after eating mounds of candy and then going on the dizzying rides at the state fair. | B. Bella's little brother looked a little sick after eating mounds of candy and then going on the nauseous rides at the state fair.,1,Bella's little brother looked a little sick after eating mounds of candy and then going on the nauseous rides at the state fair.,"Words change in meaning when speakers begin using them in new ways. For example, the word peruse once only meant to examine in detail, but it's now also commonly used to mean to look through in a casual manner.
When a word changes in meaning, its correct usage is often debated. Although a newer sense of the word may be more commonly used, many people consider a word's traditional definition to be the correct usage. Being able to distinguish the different uses of a word can help you use it appropriately for different audiences.
Britney perused her notes, carefully preparing for her exam.
The traditional usage above is considered more standard.
David perused the magazine, absentmindedly flipping through the pages.
The nontraditional usage above is now commonly used, but traditional style guides generally advise against it.",,Word usage and nuance,grade11,
9403,Which bird's beak is also adapted to catch fish?,A. Asian golden weaver | B. lesser noddy,1,lesser noddy,"An adaptation is an inherited trait that helps an organism survive or reproduce. Adaptations can include both body parts and behaviors.
The shape of a bird's beak is one example of an adaptation. Birds' beaks can be adapted in different ways. For example, a sharp hooked beak might help a bird tear through meat easily. A short, thick beak might help a bird break through a seed's hard shell. Birds that eat similar food often have similar beaks.",,Adaptations,grade3,9403.jpg
9404,What is the capital of Washington?,A. Oklahoma City | B. Richmond | C. Olympia | D. Sacramento,2,Olympia,,,State capitals,grade3,9404.jpg
9405,"What does this Works Cited entry indicate about the cited work?
Verducci, Tom. ""David Ortiz on Cubs' Kris Bryant and Why Hitting Is Harder than Ever."" Sports Illustrated 28 Apr. 2015: n. pag. Web. 10 May 2015.",A. It doesn't have a date of publication. | B. The author's first name is Tom. | C. The author's first name is David.,1,The author's first name is Tom.,"When writing research papers, you will often be asked to follow a particular style guide for your citations. One popular style guide is the Modern Language Association (MLA) Handbook.
Below are the basic formats for some common types of Works Cited entries. Consult the MLA Handbook for a complete list.
Books:
Format | Author(s). Book Title. City of Publication: Publisher, Year of Publication. Medium of Publication.
Example | Austen, Jane. Pride and Prejudice. New York: Dover Publications, 1995. Print.
Essays, short stories, or poems in an anthology or book:
Format | Author(s). ""Essay, Poem, or Short Story Title."" Anthology or Book Title. Ed. Editor Name. City of Publication: Publisher, Year of Publication. Page Number(s). Medium of Publication.
Example | James, Henry. ""The Middle Years."" The Oxford Book of American Short Stories. Ed. Joyce Carol Oates. Oxford: Oxford UP, 2013. 116-135. Print.
Magazine and newspaper articles:
Format | Author(s). ""Article Title."" Title of Magazine or Newspaper Date of Publication: Page(s). Medium of Publication.
Example | Hayes, David J., and James H. Stock. ""The Real Cost of Coal."" New York Times 24 Mar. 2015: n. pag. Web. 25 Mar. 2015.
Journal articles:
Format | Author(s). ""Article Title."" Title of Journal Volume.Issue (Year): Page(s). Medium of Publication.
Example | Gillette, Jane, et al. ""Human Simulations of Vocabulary Learning."" Cognition 73.2 (1999): 135-176. Print.
Web pages:
Format | Author(s). ""Page Title."" Name of Website. Publisher, Date of Publication. Medium of Publication. Date of Access.
Example | Gunn, Janelle P., and Lauren E. Owens. ""How to Slash Sodium from Your Diet."" Livestrong.com. Demand Media, 30 Mar. 2015. Web. 31 Mar. 2015.
Additional guidelines:
Author Names. The first author's name is written in last name, first name format (Smith, Jane). Additional author names are written in first name last name format (Smith, Jane, and John Doe). If there are more than three authors, the first author's name is followed by ""et al.,"" which stands for and others (e.g., Smith, Jane, et al.).
Medium of Publication. Each entry must include information about what form the content was communicated in. The most common mediums are ""Print"" and ""Web,"" but other possibilities include ""Film,"" ""E-mail,"" and ""Lecture."" Whenever the Medium of Publication is ""Web,"" the date of access (the day, month, and year the webpage was viewed) must be listed directly after the Medium of Publication.
Editors and Translators. If a work has an editor or a translator, this information must be added to the Works Cited entry using the appropriate abbreviation. ""Ed."" stands for edited by. ""Trans."" stands for translated by.
Missing Information. If a work has no known author, the author section of the citation is simply left out. If a work has no available page numbers, the abbreviation ""n. pag."" is used instead. If a work has no available publication date, the abbreviation ""n.d."" is used instead. If a work has no available publisher or no available city of publication, the abbreviation ""n.p."" is used instead.
",,Research skills,grade11,
9406,Which is a complete sentence?,"A. In the early morning, three fishermen climbed into their boats. | B. Will change out of her wet pants and shirt.",0,"In the early morning, three fishermen climbed into their boats.","A sentence is a group of words that forms a complete thought. It has both a subject and a verb.
My friends walk along the path.
A sentence fragment is a group of words that does not express a complete thought. It is usually missing a subject or a verb.
Knows the answer.
This is a sentence fragment. It is missing a subject.
Who knows the answer? She knows the answer.
The bright red car.
This is a sentence fragment. It is missing a verb.
What did the bright red car do? The bright red car stopped.
A run-on sentence is made up of two sentences that are joined without end punctuation or with just a comma.
I knocked on the door it opened.
It started raining, we ran inside.
To fix a run-on sentence, separate it into two sentences. Add end punctuation after the first sentence, and capitalize the second sentence.
I knocked on the door. It opened.
It started raining. We ran inside.
You can also fix a run-on sentence by rewriting it as a compound sentence. A compound sentence is two sentences joined by a comma and a conjunction such as and, but, or, or so.
I knocked on the door, and it opened.
It started raining, so we ran inside.",,"Sentences, fragments, and run-ons",grade3,
9407,"In this experiment, which were part of an experimental group?",A. the apple slices covered with lemon juice | B. the plain apple slices,0,the apple slices covered with lemon juice,"Experiments have variables, or parts that change. You can design an experiment to investigate whether changing a variable between different groups has a specific outcome.
For example, imagine you want to find out whether adding fertilizer to soil affects the height of pea plants. You could investigate this question with the following experiment:
You grow one group of pea plants in soil with fertilizer and measure the height of the plants. This group shows you what happens when fertilizer is added to soil. Since fertilizer is the variable whose effect you are investigating, this group is an experimental group.
You grow another group of pea plants in soil without fertilizer and measure the height of the plants. Since this group shows you what happens when fertilizer is not added to the soil, it is a control group.
By comparing the results from the experimental group to the results from the control group, you can conclude whether adding fertilizer to the soil affects pea plant height.",,Designing experiments,grade8,9407.jpg
9408,"Which tense does the sentence use?
Dean stirred the sauce on the stove.",A. past tense | B. future tense | C. present tense,0,past tense,"Present tense verbs tell you about something that is happening now.
Most present-tense verbs are regular. They have no ending, or they end in -s or -es.
Two verbs are irregular in the present tense, to be and to have. You must remember their forms.
Past tense verbs tell you about something that has already happened.
Most past-tense verbs are regular. They end in -ed.
Some verbs are irregular in the past tense. You must remember their past-tense forms.
Future tense verbs tell you about something that is going to happen.
All future-tense verbs use the word will.
Present | Past | Future
walk, walks | walked | will walk
go, goes | went | will go",,Verb tense,grade4,
9409,Which of these states is farthest east?,A. Washington | B. Florida | C. New Hampshire | D. Tennessee,2,New Hampshire,"Maps have four cardinal directions, or main directions. Those directions are north, south, east, and west.
A compass rose is a set of arrows that point to the cardinal directions. A compass rose usually shows only the first letter of each cardinal direction.
The north arrow points to the North Pole. On most maps, north is at the top of the map.",,Maps,grade5,9409.jpg
9410,Identify the question that Danny's experiment can best answer.,A. Can pennies hold more drops of pure water or water mixed with hand soap? | B. Can pennies hold more drops of water mixed with dish soap or water mixed with hand soap?,0,Can pennies hold more drops of pure water or water mixed with hand soap?,"Experiments can be designed to answer specific questions. How can you identify the questions that a certain experiment can answer? In order to do this, you need to figure out what was tested and what was measured during the experiment.
Imagine an experiment with two groups of daffodil plants. One group of plants was grown in sandy soil, and the other was grown in clay soil. Then, the height of each plant was measured.
First, identify the part of the experiment that was tested. The part of an experiment that is tested usually involves the part of the experimental setup that is different or changed. In the experiment described above, each group of plants was grown in a different type of soil. So, the effect of growing plants in different soil types was tested.
Then, identify the part of the experiment that was measured. The part of the experiment that is measured may include measurements and calculations. In the experiment described above, the heights of the plants in each group were measured.
Experiments can answer questions about how the part of the experiment that is tested affects the part that is measured. So, the experiment described above can answer questions about how soil type affects plant height.
Examples of questions that this experiment can answer include:
Does soil type affect the height of daffodil plants?
Do daffodil plants in sandy soil grow taller than daffodil plants in clay soil?
Are daffodil plants grown in sandy soil shorter than daffodil plants grown in clay soil?",,Designing experiments,grade6,9410.jpg
9411,Which organ gives the body its shape?,A. skeleton | B. lungs | C. heart,0,skeleton,,,Animals,grade3,
